Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F-AUTH-01,Dev-mode role header,As a developer running locally I want to act as any role by sending x-caos-role so I can exercise every authority path without an IdP.,"identity.py:identity_from_request. Outside production the role is header-supplied (default ANALYST, upper-cased); a role outside {ANALYST,APPROVER,ADMIN,READER} is 403 'unknown role'. With no x-forwarded-user the subject falls back to analyst/analyst@local so headerless local calls match the seeded actor. Route: /api/me.",Lower-case header; unknown role; absent header; header present but empty.,test_membership_and_roles_gate_access; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-AUTH-02,Production OIDC role derivation,As a security owner I want production roles to come only from OIDC groups so a client-supplied header can never escalate.,"In production the role is derived from x-forwarded-groups by _role_from_groups, most-privileged first (caos-admin>approver>analyst>reader), defaulting to READER. x-caos-role is ignored entirely. A missing x-edge-authorization matching EDGE_PROXY_SECRET is 401; a missing subject is 401.",Groups with whitespace/case variance; multiple groups; empty group string; correct edge secret but no subject.,test_misc_spec.py::test_client_role_header_cannot_escalate_in_production (added this session); documented scenarios [executed 2026-08-30 by the repo suite (428 passed) plus targeted HTTP probe],PASS,1,Medium,"D-008 also covers this: added test_client_role_header_cannot_escalate_in_production as the behavioural twin of the static edge check. Verified live that a caller sending x-caos-role READER with group caos-admin resolves to ADMIN, and one sending ADMIN with caos-reader resolves to READER.",2026-08-30
F-AUTH-03,Edge identity gate precedes validation,As an auditor I want unauthenticated /api calls refused with 401 before FastAPI validates the body so a route audit cannot mistake 422 for an unchecked route.,"EdgeIdentityGate is the outermost-but-one ASGI middleware; every /api path except /api/health is authenticated before routing. It reads headers only and never touches the receive channel, so SSE keeps streaming.",/api/health is public; non-/api paths pass through; malformed body on an unauthenticated call must still be 401 not 422.,run_sec_audit.py; test_misc_spec.py::test_edge_scrubs_every_identity_header_the_app_trusts (added this session); documented scenarios [executed 2026-08-30 by the repo suite (428 passed) plus deploy and config check],PASS,1,Medium,D-008 FIXED: the edge scrub list and the app's trusted-header list are now tied together by a test that derives both from source. Also re-verified that an unauthenticated production call is 401 before any body validation.,2026-08-30
F-AUTH-04,Case membership and write authority,As an analyst I want case access gated on membership so I never see or mutate a case I am not on.,"require_case: non-member or unknown case -> 404 'case not found' (identical response, so case existence is not an oracle). Writes additionally need a CURRENT global writer role AND stored case standing in {ANALYST,APPROVER,ADMIN}, else 403 'analyst authority required'.",Member with READER global role attempting a write; writer global role but no case standing; unknown case id.,test_membership_and_roles_gate_access; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-AUTH-05,Case approver authority for filing,As an approver I want deliverable approval and change-requests restricted to case APPROVER/ADMIN standing so a single analyst cannot self-file.,require_case_approver: non-member -> 404; member without both a global writer role and stored APPROVER/ADMIN standing -> 403 'case approver authority required'.,ANALYST member (403); APPROVER standing but IdP-downgraded to READER (403); non-member APPROVER (404).,test_deliverables_spec.py filing tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-AUTH-06,Uniform 404 for invisible runs,As a security owner I want an unknown run and a run in someone else's case to be indistinguishable.,visible_run raises 404 'run not found' for both an absent run and a run whose case the caller cannot see; a genuine 403 from require_case(write=True) still surfaces as 403.,Existing run in a foreign case; absent run id; write-scoped resume by a reader member.,test_runs_spec.py visibility tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-SEC-01,Browser security headers,As a security owner I want every response to carry a closed CSP and hardening headers so the served export and API are defended in the browser.,"SecurityHeaders middleware sets content-security-policy (default-src self; script-src self plus unsafe-inline; object-src none; frame-ancestors none), x-content-type-options, referrer-policy, permissions-policy and COOP on every response including refusals. HSTS is added only in production.",Headers on a 401/404/422; HSTS absent in development; setdefault must not overwrite a route-set header.,test_misc_spec.py header tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,Verified live: CSP/COOP/permissions-policy/referrer-policy/nosniff present on a 404; HSTS present only in production.,2026-08-30
F-SEC-02,Per-subject request rate ceiling,As an operator I want a sustained request-rate ceiling per authenticated subject so one account cannot saturate the instance.,"RequestCeilings token bucket, capacity RATE_LIMIT_PER_MINUTE (default 300), refilled at capacity/60 per second. Exhaustion answers 429 with retry-after: 60. Buckets are evicted above 4096 entries. Public paths and non-/api paths bypass.","Burst then refill; unauthenticated caller (bypasses, gate refuses later); bucket eviction; concurrent subjects isolated.",documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,"Already covered by test_per_subject_rate_ceiling_refuses_and_is_not_shared_between_subjects; re-verified live (capacity 3 -> [200,200,200,429,429,429]).",2026-08-30
F-SEC-03,Concurrency ceilings for streams and previews,As an operator I want the two worker-holding shapes bounded per subject so a single account cannot pin every worker.,"Slot counters: /api/runs/*/events limited to MAX_CONCURRENT_STREAMS (4), */models/previews limited to MAX_CONCURRENT_PREVIEWS (2). Over-ceiling is 429 with a shape-specific detail; the counter decrements in a finally block.",Slot released after a client disconnect; released after a handler exception; counters are per-subject not global.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,Stream slots covered by test_concurrent_stream_slots_are_capped_and_always_returned. The preview slot ceiling has no automated test - see Remaining Risks.,2026-08-30
F-SEC-04,Response compression exclusions,As a frontend user I want the run-event stream to arrive live and already-compressed downloads not re-compressed.,GZipMiddleware minimum_size=1024 with DEFAULT_EXCLUDED_CONTENT_TYPES plus the XLSX media type. text/event-stream is excluded by the Starlette default so the SSE tail streams.,SSE under a gzip-accepting client; XLSX download; a >1KiB JSON body is compressed.,test_misc_spec.py gzip tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,,2026-08-30
